barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,position,import,dimensions,,,,,,,
10923450230,10923450230,,46.jpg,Buffet sur roues,,Buffet 6 tiroirs en teck de Madras sur roues. Importation de l'Inde.,,0,industrialchic,buffets,132,93,38,200,1680,,50,,500,yes,IN,,,,,,,
FOR-009,FOR-009,,47.jpg,Console moderne,,"Console moderne à 2 tiroirs aux lignes droites,  fabriquée en bois de rose.  Disponible en différentes tailles et teintes. Importation de l'Inde.",,0,rosewood,consoletables,117,77,41,100,680,,50,,155,yes,CM,,,,,,,
10923450655,10923450655,,48.jpg,Étagère en bois de rose,,"Étagère moderne aux lignes droites, fabriquée en bois de rose. Peut également servir de meuble de divertissement. Disponible en différentes tailles et teintes. Importation de l'Inde.",,0,rosewood,storage,71,20,14,100,2200,,50,,265,yes,IN,,,,,,,
10923451652,10923451652,,49.jpg,Armoire éclectique,,"Armoire éclectique fabriquée de bois récupéré et bois de bateau recyclé. Disponible en différentes tailles, avec ou sans portes. Importation de l'Inde.",,0,green,wardrobe,185,90,50,150,1312,,50,,200,yes,CM,,,,,,,
10923450457,10923450457,,50.jpg,Étagère murale asymétrique,,Étagère murale asymétrique fabriquée de bois récupéré et bois de bateau recyclé. Disponible en différentes tailles et teintes. Importation de l'Inde.,,0,green,storage,110,100,35,100,486,,50,,266,yes,CM,,,,,,,
,MAEX1,,51.jpg,Buffet moderne,,Buffet moderne fabriqué en bois de rose et métal. Importation de l'Inde.,,,industrialchic,buffets,120,85,40,,,,,,,,,,,,,,,
10923450972,10923450972,,52.jpg,Console originale - racine de teck,,"Console originale fabriquée de racine de teck. Importation d'Indonésie. Ces pièces sont uniques, les dimensions peuvent varier.",,1,roots,consoletables,39,48,20,200,1944,,50,,156,yes,IN,,,,,,,
10923451035,10923451035,,53.jpg,Miroir rectangulaire blanc,,"Miroir fabriqué en bois de teck sculpture profonde, blanchi. Importation d'Indonésie.",,5,indo,mirrors,80,79,4,50,350,,50,,300,no,CM,,,,,,,
,BD3,,54.jpg,Coussin velours carré,,Coussin carré fabriqué en velours et satin. Disponible en forme et couleurs variées. Importation de l'Inde.,,,sherazed,cussions,39,39,2,1,450,,,,,,,,,,,,,
10923451034,INDO SEMAR1,,55.jpg,Miroir rectangulaire,,"Miroir fabriqué en bois de teck sculpture profonde, blanchi. Importation d'Indonésie.",,,Indo,mirrors,120,78,2,10,175,,,,,,,,,,,,,
,MAEX,,56.jpg,Plateau en bois recyclé,,Panier en bois récupéré et bois de bateau recyclé. Disponible en 3 tailles. Importation de l'Inde.,,,green,storage,50,38,8,,,,,,,,,,,,,,,
,BUNJANGGA,,57.jpg,Statue de bouddha en résine,,Statue de bouddha en résine. Disponible en tailles et couleurs différentes. Importation d'Indonésie.,,,temple,statue,64,23,23,14,400,,,,,,,,,,,,,
10923450203,M-1531,,58.jpg,Grande horloge Vintage,,"Grande horloge Vintage. Fabriquée en canevas, bois et vitre. Importation de l'Inde.",,,vintagecanvas,clocks,66,65,3,3,256,,,,,,,,,,,,,
,MAEX2,,59.jpg,Caisse en bois vintage,,Caisse fabriquée de bois récupéré et bois de bateau recyclé. Disponible en 3 tailles. Importation de l'Inde.,,,green,storage,50,32,8,,,,,,,,,,,,,,,
,MAEX3,,60.jpg,Tabouret en bois récupéré,,Tabouret fabriqué de bois récupéré et bois de bateau recyclé. Disponible en 3 tailles. Importation de l'Inde. ,,,green,stools,50,39,50,12,72,,,,,,,,,,,,,
,THAIL,,61.jpg,Coussin thaï triangulaire en coton biologique,,"Coussin thaïlandais fabriqué en coton biologique et textile. Disponible en tailles, formes et couleurs différentes. ",,,thai,cussions,50,40,11,12,72,,,,,,,,,12 kg,,,,
,,,62.jpg,Coussin thaï carré,,"Coussin thaïlandais fabriqué en coton biologique et textile. Disponible en tailles, formes et couleurs différentes.",,,thai,cussions,,,,,,,,,,,,,,,,,,
,,,,Coussin thaï triangulaire,,"Coussin thaïlandais fabriqué en coton biologique et textile. Disponible en tailles, formes et couleurs différentes.",,,thai,cussions,,,,,,,,,,,,,,,,,,
,,,63.jpg,Coussin thaï carré,,"Coussin thaïlandais fabriqué en coton biologique et textile. Disponible en tailles, formes et couleurs différentes.",,,thai,cussions,50,45,,,,,,,,,,,,,,,,
,,,64.jpg,Coussin Velours carré.,,Coussin carré fabriqué en velours et coton biologique. Disponible en formes et couleurs différentes. Importation de l'Inde.,,,sherazed,cussions,,,,,,,,,,,,,,,,,,
